Age,HourlyRate,Education,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,DailyRate,MonthlyRate,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Gender_F,Gender_M,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,OverTime_No,OverTime_Yes
47,47,4,2,2,4,4,2,1225,21086,15972,6,14,3,3,80,3,29,2,3,3,2,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
22,100,1,2,3,3,1,4,594,19299,2523,0,14,3,3,80,1,3,2,3,2,1,2,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
46,52,1,3,1,3,4,3,406,15596,17465,3,12,3,4,80,1,23,3,3,12,9,4,9,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
25,40,1,13,2,3,1,3,622,26376,2096,1,11,3,3,80,0,7,1,3,7,4,0,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
43,72,5,9,4,3,2,3,1001,19627,5679,3,13,3,2,80,1,10,3,3,8,7,4,7,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
28,84,4,2,1,1,1,4,1157,24737,3464,5,13,3,4,80,0,5,4,2,3,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
51,96,3,1,3,3,1,4,833,23231,2723,1,11,3,2,80,0,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
43,83,3,27,3,3,3,1,1082,11535,10820,8,11,3,3,80,1,18,1,3,8,7,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
40,84,2,14,4,3,2,1,118,11262,4639,1,15,3,3,80,1,5,2,3,5,4,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
27,98,3,10,4,2,2,4,205,7100,5769,1,11,3,4,80,0,6,3,3,6,2,4,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
36,82,4,9,3,2,1,1,1218,6986,3407,7,23,4,2,80,0,10,4,3,5,3,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
29,87,3,1,4,2,4,4,694,3423,16124,3,14,3,2,80,2,9,2,2,7,7,1,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
45,75,4,8,4,3,2,4,549,9278,3697,9,14,3,1,80,2,12,3,3,10,9,9,8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
23,97,1,20,1,3,2,3,507,24812,2272,0,14,3,2,80,0,5,2,3,4,3,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
34,97,3,1,4,2,2,1,669,25755,5343,0,20,4,3,80,0,14,3,3,13,9,4,9,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
19,47,3,2,2,2,1,4,303,9241,1102,1,22,4,3,80,0,1,3,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
44,73,3,15,1,3,3,4,621,14075,7978,1,11,3,4,80,1,10,2,3,10,7,0,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
47,64,4,14,3,3,2,2,1169,2125,5467,8,18,3,3,80,1,16,4,4,8,7,1,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
31,100,3,7,2,4,2,4,218,12241,6929,4,11,3,2,80,1,10,3,2,8,7,7,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
46,40,3,1,3,2,3,1,638,3142,10673,2,13,3,3,80,1,21,5,2,10,9,9,5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
33,60,3,9,1,3,1,4,117,6311,2781,0,13,3,2,80,1,15,5,3,14,10,4,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
38,59,4,1,1,2,2,4,702,12930,8686,4,22,4,3,80,0,12,2,4,8,3,0,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
36,62,2,5,4,3,2,2,1396,9945,5914,8,16,3,4,80,0,16,3,4,13,11,3,7,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
46,44,2,1,4,3,1,1,991,22957,3423,6,12,3,3,80,0,10,3,4,7,6,5,7,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
41,85,3,5,2,4,2,2,447,15530,6870,3,12,3,1,80,0,11,3,1,3,2,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
20,43,3,21,3,4,1,4,654,5050,2678,1,17,3,4,80,0,2,2,3,2,1,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
31,51,3,5,1,3,2,3,1003,20943,8346,1,19,3,3,80,1,6,3,3,5,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
31,48,2,3,3,3,1,1,976,3995,3065,1,13,3,4,80,1,4,3,4,4,2,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
46,69,3,2,3,3,4,1,1402,24097,17048,8,23,4,1,80,0,28,2,3,26,15,15,9,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
53,45,4,3,3,3,4,3,1070,21016,17584,3,16,3,4,80,3,21,5,2,5,3,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
24,57,2,21,3,2,1,1,350,10036,2296,0,14,3,2,80,3,2,3,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
52,82,4,11,4,3,2,3,1325,21821,3149,8,20,4,2,80,1,9,3,3,5,2,1,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
36,30,2,3,4,3,1,2,1480,15062,2088,4,12,3,3,80,0,13,3,2,8,7,7,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
29,46,2,13,4,2,2,2,1378,23679,4025,4,13,3,1,80,1,10,2,3,4,3,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
28,79,2,17,3,3,2,1,1300,13535,4558,1,12,3,4,80,1,10,2,3,10,0,1,8,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
42,56,3,2,1,3,5,3,300,17312,18880,5,11,3,1,80,0,24,2,2,22,6,4,14,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
21,58,1,5,3,3,1,1,501,25479,2380,1,11,3,4,80,0,2,6,3,2,2,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
52,85,4,8,3,2,2,2,723,17747,4941,2,15,3,1,80,0,11,3,2,8,2,7,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
22,69,1,6,1,3,1,3,604,12145,2773,0,20,4,4,80,0,3,3,3,2,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
34,40,4,3,3,2,1,4,697,22478,2979,3,17,3,4,80,3,6,2,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
36,98,4,16,3,2,2,1,329,13494,5647,4,13,3,1,80,2,11,3,2,3,2,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
33,56,1,15,2,3,3,3,1277,24619,13610,7,12,3,4,80,0,15,2,4,7,6,7,7,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
22,33,2,1,4,2,2,4,1230,19146,4775,6,22,4,1,80,2,4,2,1,2,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
